ident,type,name,latitude_deg,longitude_deg,elevation_ft,state,iata_code
MHUT,small_airport,Utila Airport,16.1131,-86.880302,29,IB,UII
SPAO,small_airport,San Juan Aposento Airport,-15.35389996,-75.167099,23,ICA,APE
SPJN,small_airport,San Juan de Marcona Airport,-15.35249996,-75.1371994,144,ICA,SJA
SPSO,medium_airport,Capitán FAP Renán Elías Olivera International Airport,-13.74489975,-76.22029877,39,ICA,PIO
SPZA,medium_airport,Maria Reiche Neuman Airport,-14.85400009,-74.96150208,1860,ICA,NZC
KBOI,large_airport,Boise Air Terminal/Gowen Field,43.5644,-116.223,2871,ID,BOI
KBYI,medium_airport,Burley Municipal Airport,42.54259872,-113.7720032,4150,ID,BYI
KCOE,medium_airport,Coeur D'Alene - Pappy Boyington Field,47.77429962,-116.8199997,2320,ID,COE
KGNG,small_airport,Gooding Municipal Airport,42.91719818,-114.7649994,3732,ID,GNG
KIDA,medium_airport,Idaho Falls Regional Airport,43.514599,-112.070999,4744,ID,IDA
KLLJ,small_airport,Challis Airport,44.522999,-114.218002,5072,ID,CHL
KLWS,medium_airport,Lewiston Nez Perce County Airport,46.37450027,-117.0149994,1442,ID,LWS
KMUO,large_airport,Mountain Home Air Force Base,43.043598,-115.872002,2996,ID,MUO
KMYL,medium_airport,McCall Municipal Airport,44.88970184,-116.1009979,5024,ID,MYL
KPIH,medium_airport,Pocatello Regional Airport,42.90980148,-112.5960007,4452,ID,PIH
KRXE,small_airport,Rexburg Madison County Airport,43.8339,-111.805002,4858,ID,RXE
KS80,small_airport,Idaho County Airport,45.9426,-116.123001,3314,ID,IDH
KSMN,medium_airport,Lemhi County Airport,45.12379837,-113.8809967,4043,ID,SMN
KSUN,medium_airport,Friedman Memorial Airport,43.50439835,-114.2959976,5318,ID,SUN
KTWF,medium_airport,Joslin Field Magic Valley Regional Airport,42.4818,-114.487999,4154,ID,TWF
KU70,small_airport,Cascade Airport,44.49380112,-116.0159988,4742,ID,ICS
U41,small_airport,Dubois Municipal Airport,44.16659927,-112.2259979,5123,ID,DBS
LFPB,medium_airport,Paris-Le Bourget Airport,48.9693985,2.441390038,218,IDF,LBG
LFPG,large_airport,Charles de Gaulle International Airport,49.012798,2.55,392,IDF,CDG
LFPN,medium_airport,Toussus-le-Noble Airport,48.75189972,2.106189966,538,IDF,TNF
LFPO,large_airport,Paris-Orly Airport,48.7233333,2.3794444,291,IDF,ORY
LFPT,medium_airport,Aérodrome de Pontoise - Cormeilles en Vexin,49.096667,2.040833,325,IDF,POX
LFPV,medium_airport,Villacoublay-Vélizy (BA 107) Air Base,48.7741667,2.1916667,584,IDF,VIY
3IS8,small_airport,Rinkenberger Restricted Landing Area,41.23089981,-89.61569977,808,IL,BDF
KALN,medium_airport,St Louis Regional Airport,38.89030075,-90.04599762,544,IL,ALN
KARR,small_airport,Aurora Municipal Airport,41.77190018,-88.47570038,712,IL,AUZ
KBLV,large_airport,Scott AFB/Midamerica Airport,38.5452,-89.835197,459,IL,BLV
KBMI,large_airport,Central Illinois Regional Airport at Bloomington-Normal,40.47710037,-88.91590118,871,IL,BMI
KCIR,small_airport,Cairo Regional Airport,37.0644989,-89.21959686,321,IL,CIR
KCMI,medium_airport,University of Illinois Willard Airport,40.03919983,-88.27809906,755,IL,CMI
KCPS,small_airport,St Louis Downtown Airport,38.5707016,-90.15619659,413,IL,CPS
KDEC,medium_airport,Decatur Airport,39.83459854,-88.86569977,682,IL,DEC
KDNV,small_airport,Vermilion Regional Airport,40.19919968,-87.59590149,697,IL,DNV
KDPA,medium_airport,Dupage Airport,41.90779877,-88.24859619,759,IL,DPA
KENL,small_airport,Centralia Municipal Airport,38.51509857,-89.0911026,534,IL,ENL
KFEP,small_airport,Albertus Airport,42.24620056,-89.58200073,859,IL,FEP
KGBG,small_airport,Galesburg Municipal Airport,40.93799973,-90.43109894,764,IL,GBG
KGRE,small_airport,Greenville Airport,38.83620071,-89.37840271,541,IL,GRE
KHSB,small_airport,Harrisburg-Raleigh Airport,37.81129837,-88.5503006,398,IL,HSB
KIKK,medium_airport,Greater Kankakee Airport,41.07139969,-87.84629822,630,IL,IKK
KJOT,small_airport,Joliet Regional Airport,41.51779938,-88.17549896,582,IL,JOT
KLOT,small_airport,Lewis University Airport,41.6072998,-88.09619904,679,IL,LOT
KLWV,small_airport,Lawrenceville Vincennes International Airport,38.7643013,-87.60549927,430,IL,LWV
KMDH,medium_airport,Southern Illinois Airport,37.77809906,-89.2519989,411,IL,MDH
KMDW,large_airport,Chicago Midway International Airport,41.785999,-87.752403,620,IL,MDW
KMLI,large_airport,Quad City International Airport,41.44850159,-90.50749969,590,IL,MLI
KMQB,small_airport,Macomb Municipal Airport,40.52009964,-90.65239716,707,IL,MQB
KMTO,small_airport,Coles County Memorial Airport,39.477901,-88.279198,722,IL,MTO
KMWA,small_airport,Veterans Airport of Southern Illinois,37.755001,-89.011101,472,IL,MWA
KORD,large_airport,Chicago O'Hare International Airport,41.9786,-87.9048,672,IL,ORD
KPIA,large_airport,General Wayne A. Downing Peoria International Airport,40.66419983,-89.69329834,660,IL,PIA
KPWK,medium_airport,Chicago Executive Airport,42.114222,-87.901494,647,IL,PWK
KRFD,large_airport,Chicago Rockford International Airport,42.19540024,-89.09719849,742,IL,RFD
KSAR,small_airport,Sparta Community Hunter Field,38.14889908,-89.69869995,538,IL,SAR
KSLO,small_airport,Salem Leckrone Airport,38.64289856,-88.96420288,573,IL,SLO
KSPI,large_airport,Abraham Lincoln Capital Airport,39.84410095,-89.67790222,598,IL,SPI
KSQI,small_airport,Whiteside County Airport-Joseph H Bittorf Field,41.74280167,-89.67630005,648,IL,SQI
KUGN,small_airport,Waukegan National Airport,42.42219925,-87.86789703,727,IL,UGN
KUIN,medium_airport,Quincy Regional Baldwin Field,39.94269943,-91.19460297,768,IL,UIN
KVLA,small_airport,Vandalia Municipal Airport,38.99150085,-89.16619873,537,IL,VLA
KVYS,small_airport,Illinois Valley Regional Airport-Walter A Duncan Field,41.351898,-89.153099,654,IL,VYS
ICO,small_airport,Sicogon Airstrip,11.4595,123.2506,25,ILI,ICO
RPVI,medium_airport,Iloilo International Airport,10.833017,122.493358,27,ILI,ILO
RPLI,medium_airport,Laoag International Airport,18.17810059,120.5319977,25,ILN,LAO
DNIM,medium_airport,Sam Mbakwe International Airport,5.427060127,7.206029892,373,IM,QOW
UGKO,medium_airport,Kopitnari Airport,42.17670059,42.48260117,223,IM,KUT
2IG4,small_airport,Ed-Air Airport,38.85139847,-87.49970245,426,IN,OTN
GFD,small_airport,Pope Field,39.79029846,-85.73609924,895,IN,GFD
K50I,small_airport,Kentland Municipal Airport,40.75870132,-87.42819977,698,IN,KKT
KAID,small_airport,Anderson Municipal Darlington Field,40.10860062,-85.61299896,919,IN,AID
KANQ,small_airport,Tri State Steuben County Airport,41.639702,-85.083504,995,IN,ANQ
KBAK,medium_airport,Columbus Municipal Airport,39.26190186,-85.89630127,656,IN,CLU
KBFR,small_airport,Virgil I Grissom Municipal Airport,38.84000015,-86.44539642,727,IN,BFR
KBMG,medium_airport,Monroe County Airport,39.14599991,-86.61669922,846,IN,BMG
KC65,small_airport,Plymouth Municipal Airport,41.36510086,-86.30049896,800,IN,PLY
KCEV,small_airport,Mettel Field,39.69850159,-85.12969971,867,IN,CEV
KEKM,small_airport,Elkhart Municipal Airport,41.7193985,-86.00319672,778,IN,EKI
KEVV,medium_airport,Evansville Regional Airport,38.03699875,-87.53240204,418,IN,EVV
KFRH,small_airport,French Lick Municipal Airport,38.50619888,-86.63690186,792,IN,FRH
KFWA,large_airport,Fort Wayne International Airport,40.97850037,-85.19509888,814,IN,FWA
KGSH,small_airport,Goshen Municipal Airport,41.52640152,-85.79290009,827,IN,GSH
KGUS,large_airport,Grissom Air Reserve Base,40.64810181,-86.15209961,812,IN,GUS
KGYY,medium_airport,Gary Chicago International Airport,41.61629868,-87.41280365,591,IN,GYY
KHLB,small_airport,Hillenbrand Industries Airport,39.3445015,-85.25830078,973,IN,HLB
KHNB,small_airport,Huntingburg Airport,38.24900055,-86.9536972,529,IN,HNB
KHUF,medium_airport,"Terre Haute Regional Airport, Hulman Field",39.4515,-87.307602,589,IN,HUF
KIMS,small_airport,Madison Municipal Airport,38.75889969,-85.46549988,819,IN,MDN
KIND,large_airport,Indianapolis International Airport,39.7173,-86.294403,797,IN,IND
KLAF,medium_airport,Purdue University Airport,40.41230011,-86.93689728,606,IN,LAF
KMGC,small_airport,Michigan City Municipal Airport,41.70330048,-86.82119751,655,IN,MGC
KMIE,medium_airport,Delaware County Johnson Field,40.24229813,-85.39589691,937,IN,MIE
KMZZ,small_airport,Marion Municipal Airport,40.48989868,-85.67970276,859,IN,MZZ
KOEA,small_airport,O'Neal Airport,38.69139862,-87.55220032,414,IN,OEA
KOKK,small_airport,Kokomo Municipal Airport,40.52819824,-86.05899811,830,IN,OKK
KPPO,small_airport,La Porte Municipal Airport,41.57249832,-86.73449707,812,IN,LPO
KRCR,small_airport,Fulton County Airport,41.06560135,-86.18170166,790,IN,RCR
KRZL,small_airport,Jasper County Airport,40.94789886,-87.18260193,698,IN,RNZ
KSBN,large_airport,South Bend Regional Airport,41.70869827,-86.31729889,799,IN,SBN
KSER,small_airport,Freeman Municipal Airport,38.92359924,-85.90740204,583,IN,SER
KSIV,small_airport,Sullivan County Airport,39.11470032,-87.44830322,540,IN,SIV
KSMD,small_airport,Smith Field,41.14339828,-85.15280151,835,IN,SMD
KVPZ,medium_airport,Porter County Municipal Airport,41.45399857,-87.00710297,770,IN,VPZ
MHLE,small_airport,La Esperanza Airport,14.291111,-88.175003,5475,IN,LEZ
MYIG,medium_airport,Inagua Airport,20.97500038,-73.66690063,8,IN,IGA
URMS,medium_airport,Magas Airport,43.32229996,45.01259995,1165,IN,IGT
UIBB,medium_airport,Bratsk Airport,56.37060165,101.697998,1610,IRK,BTK
UIBS,small_airport,Ust-Ilimsk Airport,58.13610077,102.5650024,1339,IRK,UIK
UIII,medium_airport,Irkutsk Airport,52.26800156,104.3889999,1675,IRK,IKT
UIKB,small_airport,Bodaybo Airport,57.86610031,114.2429962,919,IRK,ODO
UIKE,small_airport,Yerbogachen Airport,61.27500153,108.0299988,400,IRK,ERG
UIKK,small_airport,Kirensk Airport,57.773,108.064,840,IRK,KCK
UITT,medium_airport,Ust-Kut Airport,56.8567009,105.7300034,2188,IRK,UKX
AGGF,small_airport,Fera/Maringe Airport,-8.1075,159.576996,,IS,FRE
AGGV,small_airport,Suavanao Airport,-7.585559845,158.7310028,,IS,VAO
LRIA,medium_airport,Iaşi Airport,47.17850113,27.62059975,397,IS,IAS
RPUY,medium_airport,Cauayan Airport,16.92989922,121.7529984,200,ISA,CYZ
UUBI,medium_airport,Ivanovo South Airport,56.93939972,40.94079971,410,IVA,IWA
MGPB,medium_airport,Puerto Barrios Airport,15.7309,-88.583801,33,IZ,PBR
MGRD,small_airport,Las Vegas Airport,15.668363,-88.961763,28,IZ,LCF
FXMK,small_airport,Mokhotlong Airport,-29.28179932,29.07279968,7200,J,MKH
FXTK,small_airport,Tlokoeng Airport,-29.2329998,28.88299942,7000,J,TKO
SANU,medium_airport,Domingo Faustino Sarmiento Airport,-31.571501,-68.418198,1958,J,UAQ
SVCE,small_airport,Zaraza Airport,9.350306,-65.280655,204,J,ZRZ
